Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.2699905783322778,20,148
2050.0,1.270839377098811,20,151
2100.0,0.0852348936004592,21,149
2150.0,1.2699905783322778,21,150
2200.0,0.9668421591933835,20,149
2250.0,0.9010317583568394,21,151
2300.0,1.270839377098811,21,148
2350.0,0.8950241464376448,20,151
2400.0,1.277098839644887,20,148
2450.0,1.9761957599154725,20,151
2500.0,0.74551297655633,20,148
2550.0,1.0916172374464699,20,150
2600.0,0.8980189499817789,20,148
2650.0,0.0,20,151
2700.0,0.7456653867901281,21,148
2750.0,0.7864284532311392,21,151
2800.0,0.8980189499817789,21,148
2850.0,0.0,20,150
2900.0,0.8399139895225706,21,147
2950.0,0.8399139895225706,21,150
3000.0,0.8402861739970061,21,148
3050.0,2.014768261572057,20,150
3100.0,1.7312176335283416,21,148
3150.0,0.8980189499817789,21,150
3200.0,0.9597539493278966,20,148
3250.0,2.014768261572057,21,151
3300.0,0.7841453892258562,21,149
3350.0,0.9661963607099876,20,151
3400.0,1.0989464663263375,20,149
3450.0,1.3664972202703771,20,151
3500.0,0.8425431387243706,21,149
3550.0,0.9633826526327317,20,151
3600.0,0.9010317583568394,20,148
3650.0,1.2742513327971197,20,151
3700.0,0.17720607961844068,21,148
3750.0,0.8980189499817789,19,150
3800.0,0.08889868977042617,20,148
3850.0,0.0,20,151
3900.0,1.2742513327971197,22,149
3950.0,0.9010317583568394,19,151
4000.0,0.08739124129370698,20,147
4050.0,1.8020635167136787,19,150
4100.0,1.2742513327971197,20,149
4150.0,0.9040645720995962,20,151
4200.0,1.2742513327971197,21,147
4250.0,0.8427669774521013,20,151
4300.0,0.8451904463173974,22,149
4350.0,0.0,21,151
4400.0,0.9071213922835887,21,149
4450.0,0.8454168691756202,20,150
4500.0,0.9666470519902739,20,148
4550.0,0.8399139895225706,20,151
4600.0,0.9040665726363658,21,148
4650.0,0.0,20,151
4700.0,1.2742513327971197,21,148
4750.0,1.1884421143916384,20,151
4800.0,1.1884421143916384,21,148
4850.0,0.08797988199353388,19,150
4900.0,0.9010317583568394,21,149
4950.0,1.0321219126578878,20,152
