Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8983932030200957,20,149
2050.0,0.8983932030200957,19,150
2100.0,0.9571678612691635,20,148
2150.0,1.266285616123648,20,151
2200.0,1.2747852220737308,20,149
2250.0,1.1837057568957527,20,150
2300.0,0.0852706055471648,20,149
2350.0,1.1858209815732335,19,150
2400.0,0.08469887048159147,19,149
2450.0,1.189514616526566,20,151
2500.0,0.9014092750847339,20,148
2550.0,0.9640239778902595,20,151
2600.0,0.9014092750847339,21,149
2650.0,1.2747852220737308,21,151
2700.0,1.4362579225240164,20,149
2750.0,1.1079631192772394,20,151
2800.0,0.8400548594971687,21,148
2850.0,0.08469887048159147,20,150
2900.0,0.7835759414451385,20,147
2950.0,0.0,21,151
3000.0,0.9601560696385002,20,148
3050.0,1.189514616526566,19,151
3100.0,1.6805051476667077,21,149
3150.0,0.8983932030200957,20,151
3200.0,1.0206744587708976,20,148
3250.0,1.3557904576019897,20,151
3300.0,0.745825333603573,20,148
3350.0,0.7437568926785194,20,150
3400.0,0.8489506713569249,19,148
3450.0,0.0,19,151
3500.0,0.960582854597924,20,149
3550.0,1.2747852220737308,20,151
3600.0,0.16689113270228975,20,149
3650.0,0.963837567543669,20,151
3700.0,0.8457119393629041,20,149
3750.0,0.960582854597924,20,150
3800.0,0.7918355148166422,20,148
3850.0,0.0,20,151
3900.0,2.0156124146382726,19,148
3950.0,0.08316527025558466,19,150
4000.0,1.981092151306322,19,148
4050.0,0.8376518179225315,19,150
4100.0,0.9014092750847339,20,148
4150.0,0.0,19,150
4200.0,0.9014092750847339,19,148
4250.0,0.08584517098434986,20,150
4300.0,0.9014092750847339,20,147
4350.0,0.0,20,150
4400.0,0.08372586244685441,20,148
4450.0,1.0913842038654806,20,150
4500.0,0.9014092750847339,20,147
4550.0,0.960582854597924,19,151
4600.0,1.2747852220737308,20,148
4650.0,0.08316527025558466,19,150
4700.0,1.8580624028347852,19,148
4750.0,0.9541806882819853,18,150
4800.0,0.08316527025558466,19,149
4850.0,2.0999244335850253,19,151
4900.0,0.16689113270228975,20,148
4950.0,1.9666606207624522,20,150
