Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8366782795369175,21,149
2050.0,1.2687135285062965,21,151
2100.0,0.8358754693758171,21,148
2150.0,0.0894056549553223,20,151
2200.0,1.1814380254605779,20,148
2250.0,0.8971159393899144,21,151
2300.0,0.0888092969369373,21,148
2350.0,1.2781360861735718,20,151
2400.0,0.7842987891179878,23,148
2450.0,0.8336949565525625,21,150
2500.0,0.9001257182098926,22,147
2550.0,1.0935791483518706,21,150
2600.0,0.0,21,148
2650.0,0.0,21,150
2700.0,0.9001257182098926,21,148
2750.0,0.0,21,151
2800.0,1.2772561451448445,22,148
2850.0,0.844566753053436,21,151
2900.0,0.09000766565634605,21,148
2950.0,0.0,20,150
3000.0,0.7865891253105496,22,148
3050.0,0.09000766565634605,21,151
3100.0,0.9001257182098926,21,148
3150.0,0.2682226175486056,21,151
3200.0,0.0,21,149
3250.0,1.1835643435779306,21,150
3300.0,1.362977664189599,21,148
3350.0,1.031809214619939,21,152
3400.0,0.09000766565634605,20,148
3450.0,0.0894056549553223,21,150
3500.0,1.179307873550974,21,147
3550.0,0.8362895526542558,20,150
3600.0,0.8419195259510742,21,148
3650.0,0.8388984625336008,20,150
3700.0,1.1835643435779306,21,149
3750.0,1.2761481093676603,21,151
3800.0,0.9001257182098926,22,149
3850.0,0.09000766565634605,21,151
3900.0,0.7828925498860067,21,149
3950.0,0.09000766565634605,21,150
4000.0,2.019518840167322,21,148
4050.0,1.4535958195709267,21,150
4100.0,0.8419195259510742,22,148
4150.0,0.09000766565634605,21,150
4200.0,0.09000766565634605,21,147
4250.0,0.0894056549553223,20,150
4300.0,1.1814380254605779,22,148
4350.0,1.187247066317057,21,151
4400.0,1.0357525027485108,21,148
4450.0,0.9001257182098926,21,150
4500.0,0.8971159393899144,21,148
4550.0,0.8390694068678177,21,150
4600.0,1.2849760962051104,21,148
4650.0,0.8971159393899144,20,151
4700.0,0.9001257182098926,21,148
4750.0,0.0,20,151
4800.0,0.0894056549553223,21,148
4850.0,0.08730336428785315,20,150
4900.0,1.2781360861735718,21,148
4950.0,1.272969998533253,21,150
