Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.7806243503966364,3,131
2005.0,0.0,2,134
2010.0,0.893670245949179,3,132
2015.0,0.014416075354727559,4,134
2020.0,0.8970424661971629,3,132
2025.0,0.0,2,133
2030.0,0.014416075354727559,3,131
2035.0,0.01452565806635458,2,134
2040.0,0.9004403677443042,4,132
2045.0,0.9072934372584089,3,134
2050.0,1.2662810793188346,3,132
2055.0,0.9072934372584089,3,134
2060.0,0.9209751662609091,3,131
2065.0,0.0,3,133
2070.0,0.0143077450169477,3,131
2075.0,0.024410512494975136,3,134
2080.0,0.0,2,132
2085.0,1.2711235737184499,2,133
2090.0,1.2711235737184499,3,131
2095.0,0.8903050223266908,2,134
2100.0,0.8970424661971629,3,131
2105.0,0.0,3,133
2110.0,1.2854306218025453,3,131
2115.0,1.244691159800537,3,133
2120.0,0.88690734436426,3,132
2125.0,1.2686096217206362,3,133
2130.0,0.01452565806635458,3,131
2135.0,0.9072934372584089,3,133
2140.0,0.01452565806635458,3,130
2145.0,0.903864171981113,3,133
2150.0,0.0,3,131
2155.0,0.0,3,133
2160.0,0.903864171981113,3,131
2165.0,0.8836362899060713,3,133
2170.0,0.012251308257196641,3,131
2175.0,0.8936520085906438,2,133
2180.0,0.9106911251374599,3,131
2185.0,1.2589989048174848,3,133
2190.0,0.903864171981113,3,131
2195.0,0.01452565806635458,2,134
2200.0,0.8936520085906438,3,131
2205.0,2.013445871961173,2,134
2210.0,0.016989507735706864,2,132
2215.0,0.8768164281120915,3,134
2220.0,0.8735955794832246,3,131
2225.0,0.88690734436426,3,133
2230.0,1.2588893221058577,3,131
2235.0,0.028941733421082142,2,134
2240.0,1.8146045788573868,3,131
2245.0,2.0027373312162347,4,133
2250.0,0.88690734436426,3,131
2255.0,0.014416075354727559,3,135
2260.0,0.8970424661971629,3,131
2265.0,0.0,3,134
2270.0,0.0,3,131
2275.0,0.0143077450169477,3,134
2280.0,0.8836362899060713,3,131
2285.0,0.8970424661971629,3,135
2290.0,0.01452565806635458,3,131
2295.0,0.9107373005005611,3,134
2300.0,0.8836362899060713,3,131
2305.0,0.9177355673513823,2,133
2310.0,0.9072934372584089,3,132
2315.0,0.9004403677443042,2,134
2320.0,1.2543018767036889,3,131
2325.0,0.8836362899060713,3,134
2330.0,0.8970424661971629,3,131
2335.0,0.9072934372584089,3,134
2340.0,1.2711235737184499,3,131
2345.0,0.028941733421082142,4,134
2350.0,1.2711235737184499,4,131
2355.0,0.907215983502376,3,133
2360.0,0.0143077450169477,4,131
2365.0,0.8903050223266908,3,133
2370.0,1.2734149801722123,3,131
2375.0,0.8936520085906438,4,134
2380.0,0.028941733421082142,3,131
2385.0,0.8903504101894928,2,133
2390.0,0.9107694775212407,3,131
2395.0,0.88690734436426,3,134
2400.0,1.773916085674941,4,131
2405.0,0.903864171981113,3,134
2410.0,0.8936520085906438,3,131
2415.0,1.2686096217206362,3,134
2420.0,0.9004403677443042,3,131
2425.0,0.0,3,133
2430.0,1.2879406382385667,3,130
2435.0,0.012344394719719345,3,134
2440.0,0.9107694775212407,4,131
2445.0,0.9280843101943353,3,133
2450.0,0.0,3,131
2455.0,0.8969909632095426,2,134
2460.0,1.2975513551417184,2,130
2465.0,1.9936660998645483,2,134
2470.0,0.8970424661971629,3,132
2475.0,0.8803638853174153,3,134
2480.0,0.9004403677443042,4,131
2485.0,0.9004403677443042,3,134
2490.0,1.2710690739860186,3,131
2495.0,1.2589989048174848,3,133
2500.0,0.012251308257196641,4,132
2505.0,0.8903050223266908,3,133
2510.0,0.04324947843802984,3,131
2515.0,0.8936520085906438,2,134
2520.0,0.0,3,130
2525.0,0.8970424661971629,3,133
2530.0,0.0143077450169477,3,131
2535.0,0.9141928434673375,3,133
2540.0,0.9212919228683448,3,131
2545.0,1.2785063488748225,3,133
2550.0,0.009683667679749123,3,131
2555.0,1.2734149801722123,2,134
2560.0,0.8970424661971629,3,130
2565.0,0.0,3,133
2570.0,0.0,3,131
2575.0,0.012344394719719345,3,133
2580.0,0.029162151218183354,3,130
2585.0,0.012344394719719345,2,133
2590.0,0.0,2,130
2595.0,1.2781480140341144,2,133
2600.0,1.9801499417293469,3,130
2605.0,0.0,2,133
2610.0,0.8970424661971629,3,130
2615.0,1.2686096217206362,2,133
2620.0,1.2686096217206362,2,130
2625.0,0.8636298859320043,3,133
2630.0,0.8903050223266908,2,130
2635.0,0.0,3,133
2640.0,0.893670245949179,3,130
2645.0,0.8970424661971629,2,133
2650.0,0.8869510073364598,3,130
2655.0,0.8869830633867439,3,133
2660.0,0.8970424661971629,3,130
2665.0,0.8903050223266908,2,133
2670.0,0.014416075354727559,3,131
2675.0,0.9004403677443042,3,134
2680.0,1.2543018767036889,3,131
2685.0,0.014416075354727559,2,134
2690.0,0.8836362899060713,3,131
2695.0,0.012344394719719345,2,133
2700.0,0.028941733421082142,3,130
2705.0,0.9004403677443042,2,133
2710.0,1.2613126407608206,3,131
2715.0,1.2975513551417184,3,133
2720.0,0.9004403677443042,3,131
2725.0,0.8902284313743317,3,134
2730.0,1.2686096217206362,4,131
2735.0,1.7873181986787978,3,133
2740.0,0.8738174932386166,3,131
2745.0,0.9038437523562411,3,134
2750.0,0.9038437523562411,2,131
2755.0,0.8803638853174153,2,133
2760.0,1.2686096217206362,3,130
2765.0,0.8738174932386166,2,133
2770.0,0.8936520085906438,3,130
2775.0,1.2734149801722123,3,133
2780.0,0.014416075354727559,3,131
2785.0,0.88690734436426,3,133
2790.0,0.014416075354727559,3,130
2795.0,0.8970424661971629,3,133
2800.0,0.8970424661971629,3,131
2805.0,0.8768164281120915,3,133
2810.0,1.273880706035139,3,131
2815.0,0.9106911251374599,2,132
2820.0,1.7873181986787978,2,130
2825.0,0.8936520085906438,3,134
2830.0,1.2661545438392288,4,131
2835.0,0.9004403677443042,2,133
2840.0,0.9142064818831549,4,131
2845.0,0.8936192152124012,3,134
2850.0,1.2539735982090003,4,131
2855.0,0.0,3,133
2860.0,0.01452565806635458,3,130
2865.0,0.903864171981113,3,133
2870.0,1.2879406382385667,4,131
2875.0,1.794062750452777,3,134
2880.0,0.028941733421082142,4,132
2885.0,1.7872525643002277,3,134
2890.0,0.9107694775212407,3,131
2895.0,0.012344394719719345,3,133
2900.0,0.0,3,131
2905.0,1.2785844115428222,3,133
2910.0,0.9004403677443042,4,132
2915.0,0.0,3,133
2920.0,0.0,3,130
2925.0,0.8869329783216147,3,133
