Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8719857546750994,9,137
2050.0,0.8718826898123766,9,140
2100.0,0.9007606548070909,9,137
2150.0,0.9271406410354003,8,139
2200.0,0.9271406410354003,8,137
2250.0,0.8718826898123766,9,140
2300.0,0.9576794764468111,8,136
2350.0,1.2692700009336184,8,140
2400.0,1.2716735446996539,9,137
2450.0,0.8975094248168171,8,139
2500.0,1.2738679344802577,8,137
2550.0,0.9271406410354003,8,139
2600.0,0.8975094248168171,8,136
2650.0,0.8719857546750994,9,140
2700.0,0.03944191333085405,8,137
2750.0,1.2301821834032332,8,140
2800.0,0.037057864350331045,9,138
2850.0,0.03915718470965712,8,138
2900.0,2.0068916701527737,8,138
2950.0,0.8975094248168171,8,139
3000.0,0.8444541107267598,9,137
3050.0,1.2744071791662355,8,140
3100.0,0.0738485364364506,8,137
3150.0,1.772446535254582,8,139
3200.0,0.0,8,137
3250.0,0.8718826898123766,8,140
3300.0,1.2721696583009083,9,137
3350.0,0.0733161165570292,8,138
3400.0,0.8718826898123766,9,137
3450.0,0.037057864350331045,8,140
3500.0,0.9040359645523132,8,137
3550.0,0.036525444470909635,9,140
3600.0,0.038876147871399085,9,137
3650.0,1.2738682619217998,8,139
3700.0,0.9271406410354003,8,138
3750.0,0.9307068101236283,9,140
3800.0,1.2762991088811482,9,137
3850.0,0.9007606548070909,8,140
3900.0,0.036790672086119566,8,137
3950.0,0.9007611178793014,8,140
4000.0,0.8718826898123766,9,136
4050.0,0.9007611178793014,8,140
4100.0,0.8975094248168171,8,137
4150.0,0.0,9,139
4200.0,1.2804181104598444,8,138
4250.0,0.9238902328003807,8,139
4300.0,1.278500249384466,9,137
4350.0,0.037057864350331045,8,139
4400.0,1.276791180783217,9,137
4450.0,0.07438619537987616,9,140
4500.0,0.0,9,137
4550.0,1.2806312684171806,8,140
4600.0,0.9576794764468111,9,136
4650.0,0.036525444470909635,8,140
4700.0,1.2347807638303903,9,137
4750.0,0.9007611178793014,9,140
4800.0,0.9613747832490377,8,137
4850.0,0.8975089617446066,9,139
4900.0,1.2411715909133787,8,137
4950.0,1.3132441616323478,9,138
