Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.6821001801814544,21,147
2050.0,0.9613852842317637,20,149
2100.0,0.7777446465504515,21,148
2150.0,1.2719378125984713,22,150
2200.0,0.18047936084446561,22,148
2250.0,0.3585498073933762,22,151
2300.0,0.8963885141909124,22,149
2350.0,0.18358602517746753,21,151
2400.0,0.0,22,149
2450.0,0.8963885141909124,21,151
2500.0,1.184145693970687,21,148
2550.0,0.8993958525359631,21,150
2600.0,0.8963885141909124,21,148
2650.0,0.0921016371705182,20,150
2700.0,0.0,20,148
2750.0,1.0945225455531582,21,150
2800.0,0.0,21,147
2850.0,1.040943137207399,21,149
2900.0,1.1783516334186386,21,148
2950.0,0.0,21,150
3000.0,0.8963885141909124,21,149
3050.0,0.8330189561683874,21,151
3100.0,0.0,21,147
3150.0,0.8993958525359631,21,149
3200.0,1.2887498551915162,21,148
3250.0,0.0,21,151
3300.0,1.9871528735120116,22,148
3350.0,0.7799962876680048,21,151
3400.0,0.8993958525359631,22,147
3450.0,0.9024231599271298,21,150
3500.0,1.4524171734429367,22,148
3550.0,0.8993958525359631,21,151
3600.0,0.9024251568317413,21,148
3650.0,0.0,21,150
3700.0,0.8993958525359631,21,148
3750.0,1.2931885249709572,21,150
3800.0,0.0899346830671098,22,149
3850.0,1.2793854870421366,20,150
3900.0,1.3612709731040884,22,148
3950.0,0.8356114484454769,21,151
4000.0,0.0,21,147
4050.0,0.09054467777735585,20,150
4100.0,0.8382182428939118,22,148
4150.0,0.8408414844828606,21,150
4200.0,0.7400429219605709,21,148
4250.0,0.08841343370762224,21,150
4300.0,0.0,22,148
4350.0,0.7882555080100647,21,150
4400.0,1.040943137207399,22,149
4450.0,1.0309725735679613,20,150
4500.0,0.0,22,148
4550.0,0.8993958525359631,21,151
4600.0,0.8993958525359631,22,147
4650.0,0.9650867685521286,21,150
4700.0,0.8382182428939118,22,148
4750.0,1.2770997113238853,21,150
4800.0,0.0,21,147
4850.0,0.8963885141909124,21,151
4900.0,0.0,21,148
4950.0,0.8993958525359631,21,150
