Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.021764736636894468,4,130
2005.0,0.9007528677536176,3,133
2010.0,0.0,4,131
2015.0,0.03860216149155212,4,134
2020.0,0.8973537869565189,4,131
2025.0,0.8973537869565189,4,134
2030.0,0.8939799534366468,4,131
2035.0,0.8973537869565189,4,133
2040.0,1.2690498957607659,4,131
2045.0,0.8871591212591378,4,134
2050.0,1.2906837514082765,4,131
2055.0,0.928238591453332,3,134
2060.0,0.03831150992267456,5,131
2065.0,1.2690498957607659,4,133
2070.0,1.2642785746397738,4,130
2075.0,1.8117539954780417,4,132
2080.0,0.01908340527123952,4,131
2085.0,0.01908340527123952,4,134
2090.0,1.7679668269805833,4,130
2095.0,0.0,4,134
2100.0,0.8704860003584383,5,131
2105.0,0.8973537869565189,4,134
2110.0,1.252227610832302,5,131
2115.0,0.928238591453332,4,135
2120.0,1.2716374081247297,4,132
2125.0,1.273856921923625,4,134
2130.0,1.252227610832302,4,131
2135.0,0.019374056840117088,4,133
2140.0,1.2451951693685341,5,130
2145.0,1.2642785746397738,4,133
2150.0,1.256906876810893,5,131
2155.0,0.8973537869565189,5,133
2160.0,0.019374056840117088,4,130
2165.0,1.273856921923625,4,134
2170.0,1.2398321899475035,4,131
2175.0,0.019374056840117088,3,133
2180.0,0.019228104651435034,4,131
2185.0,1.273856921923625,4,133
2190.0,1.327174258695969,4,131
2195.0,0.8872607252488697,4,134
2200.0,0.021764736636894468,3,130
2205.0,0.9144502736510909,3,133
2210.0,0.016867573034716567,4,130
2215.0,0.019374056840117088,3,133
2220.0,0.016995403985492888,4,131
2225.0,0.019228104651435034,3,134
2230.0,0.019228104651435034,4,131
2235.0,0.8973537869565189,4,133
2240.0,0.8775453408494991,4,131
2245.0,0.0,4,133
2250.0,0.03860216149155212,4,131
2255.0,0.890537387306408,5,133
2260.0,0.8872607252488697,4,130
2265.0,0.9007528677536176,5,134
2270.0,0.9007528677536176,5,130
2275.0,0.014530699231148636,3,133
2280.0,0.017124475153857874,5,131
2285.0,1.2690498957607659,4,134
2290.0,1.2882780004122012,5,131
2295.0,0.864350783366645,4,133
2300.0,0.0,4,131
2305.0,0.925052438975229,3,133
2310.0,0.0,4,131
2315.0,0.9041776387626307,4,133
2320.0,1.2307655562469357,4,131
2325.0,0.8805893441824852,3,134
2330.0,0.01908340527123952,4,131
2335.0,0.9110515699878207,3,132
2340.0,1.2400981180410413,4,131
2345.0,0.9007528677536176,3,133
2350.0,0.028951777719724913,4,130
