Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.1887839564427045,19,148
2050.0,1.265510628039182,19,150
2100.0,1.185092590306911,20,148
2150.0,0.0,20,151
2200.0,0.956986555339962,19,149
2250.0,0.900855583883822,20,151
2300.0,0.08464684414837183,20,149
2350.0,0.900855583883822,19,151
2400.0,1.2723190800484534,19,148
2450.0,0.16137351574484923,19,151
2500.0,0.7913491293652807,20,149
2550.0,0.9038898047804833,20,151
2600.0,1.1925007802759866,19,148
2650.0,0.16245688220462623,19,151
2700.0,0.7890374434491436,19,148
2750.0,0.786735068621936,19,151
2800.0,0.900855583883822,20,149
2850.0,1.1946468082081694,18,150
2900.0,0.8425440892071511,20,148
2950.0,0.08311418593724587,19,150
3000.0,1.0252202441222404,20,148
3050.0,0.8425440892071511,19,150
3100.0,0.16245688220462623,19,148
3150.0,0.9598083289217622,19,150
3200.0,1.28051203889446,20,148
3250.0,0.900855583883822,20,152
3300.0,1.0252202441222404,20,149
3350.0,0.8427542469437183,20,150
3400.0,0.8395388552837186,19,148
3450.0,0.0,19,150
3500.0,0.08636948167840887,20,148
3550.0,0.9604036447565608,19,150
3600.0,1.2848804438272092,20,148
3650.0,1.9942229614646876,18,151
3700.0,0.8451924602846715,19,148
3750.0,1.6911834498292737,19,150
3800.0,0.9634318255696882,19,148
3850.0,0.9038898047804833,19,150
3900.0,0.9038898047804833,19,149
3950.0,0.7945860644498305,19,151
4000.0,0.9599928159894487,19,148
4050.0,1.9399571037572891,20,151
4100.0,0.08367443378441777,19,147
4150.0,0.9632455297257677,19,150
4200.0,0.08311418593724587,20,147
4250.0,0.8948511467501522,19,150
4300.0,0.7890374434491436,19,147
4350.0,0.8425440892071511,19,150
4400.0,1.1041371122943329,20,148
4450.0,0.8425440892071511,20,150
4500.0,1.2697408487725976,19,147
4550.0,1.0226357081022848,19,150
4600.0,0.8451924602846715,19,147
4650.0,0.08095547801257819,19,150
4700.0,0.900855583883822,19,148
4750.0,0.08095547801257819,19,151
4800.0,1.2740021844680347,19,148
4850.0,0.0,19,150
4900.0,0.0,20,149
4950.0,0.08041803773227106,19,151
