Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.9005132656758652,18,144
2005.0,0.8493658245451947,17,148
2010.0,1.1203577757062713,18,144
2015.0,0.8468234869469577,18,147
2020.0,0.9005132656758652,17,144
2025.0,0.07688208355893471,17,146
2030.0,0.9005132656758652,17,144
2035.0,0.07904584465162029,17,147
2040.0,0.8974284435650334,17,144
2045.0,0.954762298240569,17,147
2050.0,0.8466268658328239,16,144
2055.0,0.0,17,147
2060.0,0.8435479854956723,18,145
2065.0,0.9036185881868005,17,148
2070.0,0.07414206443290865,17,145
2075.0,0.8408484238888935,17,147
2080.0,0.0,18,145
2085.0,0.07635452713145173,17,147
2090.0,0.8974284435650334,17,145
2095.0,0.9509251597604536,17,148
2100.0,0.843903962743027,17,144
2105.0,0.957862885919912,17,148
2110.0,1.280087771409841,17,144
2115.0,0.0,16,147
2120.0,0.22396828859836018,16,144
2125.0,0.9005132656758652,16,147
2130.0,0.14879770044277693,16,144
2135.0,0.9005122894663365,17,147
2140.0,1.9732177612047448,17,145
2145.0,0.8466268658328239,17,146
2150.0,0.0,18,144
2155.0,0.9005132656758652,17,147
2160.0,0.8466268658328239,17,145
2165.0,1.7490338553438758,17,147
2170.0,0.8526630337141128,17,144
2175.0,0.07850466169955528,17,148
2180.0,0.0,17,145
2185.0,1.201060239203484,17,147
2190.0,0.9005132656758652,17,144
2195.0,1.0149660394696565,17,147
2200.0,0.07635452713145173,17,145
2205.0,0.9543806611788848,17,147
2210.0,0.9005132656758652,17,145
2215.0,0.0,16,148
2220.0,1.1988624374058265,18,145
2225.0,0.8435479854956723,17,148
2230.0,0.0,17,144
2235.0,0.9005122894663365,17,147
2240.0,0.9036185881868005,18,144
2245.0,0.07465563600986831,16,147
2250.0,0.14548620460315215,16,145
2255.0,0.0724924349634893,17,147
2260.0,0.07465563600986831,16,144
2265.0,1.7948578633395957,16,147
2270.0,0.8497048149215315,17,144
2275.0,0.9545955872936512,17,147
2280.0,0.8053057117650299,17,144
2285.0,0.297606445435596,16,146
2290.0,0.0724924349634893,17,143
2295.0,0.14982622416545155,16,146
2300.0,0.8497048149215315,17,145
2305.0,0.07465563600986831,17,146
2310.0,1.2735166928469395,16,144
2315.0,1.8010255551422016,16,147
2320.0,0.8524651654338898,18,144
2325.0,1.7520469282760232,17,147
2330.0,0.8524651654338898,16,144
2335.0,1.343298921150712,17,147
2340.0,1.2735180734156948,17,144
