Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8454352639556207,18,145
2005.0,0.9495873472696438,17,147
2010.0,1.7981137346494942,17,144
2015.0,0.9021472869822755,17,147
2020.0,1.280575502207925,17,144
2025.0,0.9021472869822755,18,148
2030.0,0.9596009706587727,17,145
2035.0,0.8509070365485537,16,147
2040.0,1.2714591066524432,18,145
2045.0,0.7981976508023139,17,148
2050.0,0.8959889412280172,18,145
2055.0,0.8990578453056514,17,148
2060.0,1.2735974375256351,17,144
2065.0,0.7981976508023139,17,147
2070.0,0.8990568673247471,18,144
2075.0,0.07377177654260078,17,147
2080.0,0.14804837504358193,18,144
2085.0,0.8990568673247471,17,147
2090.0,0.07377177654260078,17,144
2095.0,1.4238773035520087,17,147
2100.0,0.07377177654260078,17,144
2105.0,0.0,16,147
2110.0,1.9441579131925693,18,146
2115.0,0.9021472869822755,17,147
2120.0,0.9021472869822755,17,144
2125.0,0.9052582442387939,17,147
2130.0,0.8481631078739802,17,145
2135.0,0.07702158951337752,17,146
2140.0,1.2714584151153259,18,144
2145.0,0.9021472869822755,17,148
2150.0,0.07427659850098113,17,144
2155.0,0.8512466420379806,16,147
2160.0,0.9021463090013713,18,145
2165.0,0.8990568673247471,16,148
2170.0,0.9530276655117381,16,144
2175.0,1.2714584151153259,17,147
2180.0,1.1190713373773902,17,144
2185.0,0.8990568673247471,17,148
2190.0,0.9562871698058674,18,145
2195.0,0.8481631078739802,17,147
2200.0,0.8014590575682121,17,145
2205.0,1.275828928508427,17,147
2210.0,0.9562871698058674,17,145
2215.0,0.8483600857658564,16,147
2220.0,0.2243746890029731,17,144
2225.0,0.07427659850098113,17,147
2230.0,0.9596009706587727,17,144
2235.0,0.07427659850098113,17,147
2240.0,0.8454352639556207,17,146
2245.0,0.8990568673247471,16,148
2250.0,1.2671197124209719,17,145
2255.0,0.07427659850098113,17,147
2260.0,0.8456301032460338,17,144
2265.0,0.0,17,147
2270.0,0.7981976508023139,17,144
2275.0,0.8959889412280172,17,146
2280.0,0.7950139790494655,17,145
2285.0,0.8486924779218719,17,147
2290.0,0.7981976508023139,18,144
2295.0,0.0,18,147
2300.0,0.2228394770199534,18,145
2305.0,0.07427659850098113,17,147
2310.0,1.2714584151153259,17,145
2315.0,0.22791912449818738,17,147
2320.0,0.07427659850098113,17,144
2325.0,0.14804837504358193,17,147
2330.0,0.7981976508023139,17,144
2335.0,0.07326833765807901,17,148
2340.0,0.1470401142006798,17,145
2345.0,0.14804837504358193,16,147
2350.0,0.14804837504358193,17,145
2355.0,0.07597210666053081,17,147
2360.0,0.9526506556871394,18,145
2365.0,0.8006191652812046,17,147
2370.0,0.8990568673247471,17,145
2375.0,1.2758904337361696,17,147
2380.0,1.350105527009408,17,144
2385.0,0.9021463090013713,17,147
2390.0,1.995018293312926,19,145
2395.0,0.9530276655117381,17,148
2400.0,1.2714591066524432,17,145
2405.0,0.7663363389197239,16,147
2410.0,0.9021472869822755,17,144
2415.0,0.0,17,147
2420.0,0.7981976508023139,18,144
2425.0,1.006135934437074,17,146
2430.0,0.755042595675149,17,145
2435.0,1.3452301916579266,16,147
2440.0,0.0,17,145
2445.0,1.1971818166143444,16,147
2450.0,1.2714591066524432,17,144
2455.0,0.9021463090013713,17,147
2460.0,0.9021472869822755,17,144
2465.0,0.0,16,148
2470.0,0.8540120013289125,17,145
2475.0,0.8990568673247471,16,147
2480.0,0.07702158951337752,18,145
2485.0,0.8990568673247471,17,147
2490.0,0.07479110197637152,18,144
2495.0,1.3452301916579266,18,146
2500.0,0.07649307581133158,16,143
2505.0,0.07864711189408222,17,147
2510.0,0.8990568673247471,17,144
2515.0,0.7966120324345882,17,147
2520.0,0.8481631078739802,17,145
2525.0,0.8990568673247471,17,147
2530.0,1.1971818166143444,17,145
2535.0,0.8959889412280172,17,147
2540.0,0.15351466531950522,17,145
2545.0,1.275828928508427,16,148
2550.0,1.6512114084047316,18,144
2555.0,0.9021472869822755,17,146
2560.0,0.07649307581133158,18,145
2565.0,1.2714584151153259,16,147
2570.0,0.8990568673247471,17,145
2575.0,0.0,17,147
2580.0,0.7981976508023139,18,144
2585.0,0.9596009706587727,18,147
2590.0,0.8456301032460338,17,144
2595.0,1.1971818166143444,17,147
2600.0,0.07649307581133158,17,144
2605.0,1.193347935878371,17,148
2610.0,1.2032396163386645,17,145
2615.0,2.017262659409379,17,147
2620.0,0.9597773904430057,18,144
2625.0,0.07864711189408222,16,146
2630.0,0.9561124272663303,17,145
2635.0,1.1971818166143444,17,147
2640.0,0.9052572662578895,17,145
2645.0,0.9021472869822755,17,147
2650.0,0.9021463090013713,17,145
2655.0,1.9464532852069187,17,147
2660.0,1.1971818166143444,17,144
2665.0,0.07864711189408222,17,147
2670.0,0.9593723761485264,17,144
2675.0,0.07597210666053081,16,147
2680.0,0.07597210666053081,18,145
2685.0,0.0,17,147
2690.0,1.1949985579749427,17,145
2695.0,0.8990568673247471,17,147
2700.0,1.2714584151153259,17,145
2705.0,2.024217659211028,16,147
2710.0,0.9021472869822755,17,145
2715.0,0.9562871698058674,17,146
2720.0,0.07377177654260078,17,144
2725.0,0.8990568673247471,17,147
2730.0,0.9530276655117381,17,144
2735.0,0.8483600857658564,16,147
2740.0,0.9532029735544026,17,144
2745.0,0.9021472869822755,17,147
2750.0,0.0,18,144
2755.0,0.0,16,147
2760.0,0.0,17,145
2765.0,1.7494702509426172,17,148
2770.0,0.0,17,144
2775.0,0.8990568673247471,17,146
2780.0,1.1234336908129918,17,144
2785.0,0.8481631078739802,16,147
2790.0,0.8990578453056514,16,145
2795.0,0.9526506556871394,16,147
2800.0,0.0,17,145
2805.0,0.07649307581133158,17,147
2810.0,0.0,16,145
2815.0,0.07864711189408222,17,148
2820.0,1.193347935878371,17,145
2825.0,1.350105527009408,17,147
2830.0,0.07479110197637152,18,144
2835.0,0.9495873472696438,18,147
2840.0,1.1234336908129918,17,144
2845.0,0.9021463090013713,17,147
2850.0,1.2714597981891844,16,144
2855.0,0.9530276655117381,17,147
2860.0,0.8959889412280172,16,145
2865.0,0.9492124035477778,17,147
2870.0,1.275828236971685,17,145
2875.0,0.8990568673247471,17,147
2880.0,0.07427659850098113,17,144
2885.0,0.15246518246840884,16,147
2890.0,0.0,18,144
2895.0,1.1971818166143444,17,147
2900.0,0.07649307581133158,17,144
2905.0,1.275828236971685,17,147
2910.0,2.0103522709761443,17,145
2915.0,0.9021472869822755,17,147
2920.0,0.0,17,144
2925.0,0.07427659850098113,17,147
2930.0,0.9021472869822755,18,145
2935.0,1.0442802354010186,17,147
2940.0,0.2228394770199534,17,144
2945.0,0.7957899705209631,17,147
2950.0,0.9526506556871394,17,144
2955.0,1.8544705130263566,17,147
2960.0,0.07326833765807901,18,144
2965.0,0.8457686901057605,16,147
2970.0,0.07377177654260078,17,145
2975.0,0.8990578453056514,17,147
2980.0,0.0,17,144
2985.0,0.07427659850098113,16,148
2990.0,1.6966819059928426,17,145
2995.0,0.8454352639556207,16,146
3000.0,0.07377177654260078,17,145
3005.0,0.9526506556871394,17,147
3010.0,0.0,18,145
3015.0,0.8018542326772857,17,148
3020.0,0.8959889412280172,17,144
3025.0,0.14278075810996954,18,147
3030.0,1.2758275454345684,17,144
3035.0,0.8990578453056514,17,147
3040.0,1.2692653940843335,17,145
3045.0,0.07326833765807901,17,147
3050.0,0.8959889412280172,18,145
3055.0,0.07377177654260078,17,148
3060.0,0.8990578453056514,17,144
3065.0,0.0,16,147
3070.0,0.8481631078739802,17,144
3075.0,1.006135934437074,17,148
3080.0,0.8454352639556207,19,145
3085.0,0.07649307581133158,17,147
3090.0,0.8483600857658564,18,145
3095.0,1.810514532515779,16,147
3100.0,0.8481631078739802,18,145
3105.0,0.07427659850098113,17,147
3110.0,0.9526506556871394,17,145
3115.0,0.9021472869822755,16,147
3120.0,1.2759367609904053,17,145
3125.0,0.07649307581133158,16,147
3130.0,0.9562871698058674,17,145
3135.0,0.07427659850098113,16,146
3140.0,1.1190713373773902,17,145
3145.0,0.8481631078739802,17,147
3150.0,0.7981976508023139,16,145
3155.0,1.1234336908129918,16,147
3160.0,0.8454352639556207,16,145
3165.0,0.07649307581133158,16,148
3170.0,0.8990568673247471,17,145
3175.0,1.2735974375256351,16,147
3180.0,0.07427659850098113,17,145
3185.0,0.956494756825409,17,147
3190.0,0.8512466420379806,17,146
3195.0,0.9563277433740754,17,148
3200.0,0.8454352639556207,17,146
3205.0,1.2756823913995268,16,148
3210.0,0.9530276655117381,18,145
3215.0,0.0,16,148
3220.0,0.9596009706587727,17,145
3225.0,1.1971818166143444,17,148
3230.0,0.8454352639556207,18,145
3235.0,0.9562871698058674,17,148
3240.0,0.9526506556871394,16,145
3245.0,1.275828928508427,17,147
3250.0,0.9562871698058674,17,144
3255.0,0.0,17,147
3260.0,0.755042595675149,17,144
3265.0,0.8481631078739802,17,146
3270.0,1.9428097702571903,18,145
3275.0,2.010352708342691,17,146
3280.0,0.0,17,145
3285.0,0.14906770047735263,16,147
3290.0,0.07427659850098113,17,144
3295.0,0.8067669747373309,17,147
3300.0,0.8510616680243792,16,145
3305.0,0.7981976508023139,16,147
3310.0,1.2714597981891844,17,145
3315.0,0.8990578453056514,17,147
3320.0,1.2714597981891844,17,145
3325.0,0.8454352639556207,17,147
3330.0,1.2714597981891844,17,144
3335.0,1.275828236971685,18,147
3340.0,0.8512466420379806,17,145
