Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,1.2703301218522767,17,144
2005.0,0.9013447631411255,18,146
2010.0,1.2724658619225622,17,144
2015.0,1.7965171099025756,17,146
2020.0,0.0,17,145
2025.0,0.22928287581502868,15,147
2030.0,0.0,17,145
2035.0,0.9013447631411255,16,147
2040.0,0.22417533486127814,18,144
2045.0,0.9044539334625006,17,147
2050.0,1.1257831488956809,17,145
2055.0,1.808906889813021,17,146
2060.0,0.9013457402531058,18,145
2065.0,0.7634313479572804,17,147
2070.0,0.07370623122971671,17,143
2075.0,1.2703287400072623,17,147
2080.0,0.0,18,144
2085.0,1.739049682596368,17,146
2090.0,1.351618250817454,18,145
2095.0,0.14996473020126003,17,146
2100.0,0.756535368591153,17,144
2105.0,0.07370623122971671,17,147
2110.0,0.8474095254216149,17,145
2115.0,0.8982580663952976,17,147
2120.0,0.7634313479572804,17,144
2125.0,1.808906889813021,17,146
2130.0,0.9587483770408142,17,143
2135.0,0.8982580663952976,17,146
2140.0,0.8982580663952976,17,145
2145.0,0.8982590435072779,16,147
2150.0,1.1983027472975933,17,144
2155.0,1.2004833837481266,17,147
2160.0,0.0,17,144
2165.0,1.01524302647022,17,147
2170.0,0.9552629331761164,18,144
2175.0,0.9521809121942676,17,147
2180.0,0.07421060466001812,17,144
2185.0,0.8982580663952976,17,146
2190.0,1.7965171099025756,18,144
2195.0,0.0,17,147
2200.0,0.8982580663952976,17,144
2205.0,1.7058094452552592,17,145
2210.0,1.7430079278193094,17,144
2215.0,0.8532532222069061,16,146
2220.0,0.0,18,144
2225.0,0.9013447631411255,17,148
2230.0,0.0,17,144
2235.0,0.9521809121942676,18,147
2240.0,0.07472465100542121,17,144
2245.0,1.2746939884081447,18,148
2250.0,0.0,18,144
2255.0,1.2703301218522767,17,148
2260.0,0.8982590435072779,17,144
2265.0,0.0,16,147
2270.0,1.9475210949187947,17,145
2275.0,0.0,16,147
2280.0,0.8499634407463058,18,144
2285.0,1.2745489633406717,18,147
2290.0,1.130155763578922,17,145
2295.0,0.9013447631411255,17,147
2300.0,0.07421060466001812,18,145
2305.0,0.9013457402531058,17,147
2310.0,0.07255945019963252,17,144
2315.0,0.0,16,146
2320.0,0.07421060466001812,17,145
2325.0,0.0,17,148
2330.0,0.955644923040101,18,144
2335.0,1.4182681403854247,17,147
2340.0,0.07642511265763657,17,145
2345.0,0.850490319903571,17,147
2350.0,0.9013457402531058,18,145
2355.0,1.0499213913549361,17,147
2360.0,0.8532532222069061,18,145
2365.0,0.0,17,147
2370.0,0.955644923040101,17,145
2375.0,0.1446211621746219,16,147
2380.0,0.9013447631411255,17,144
2385.0,0.07472465100542121,16,146
2390.0,0.1456206985315458,17,145
2395.0,0.850490319903571,17,147
2400.0,0.14017435827335467,18,145
2405.0,0.1489352556654393,17,147
2410.0,0.9013447631411255,18,146
2415.0,0.8503055102370974,17,147
2420.0,0.955644923040101,17,144
2425.0,1.0129515992420683,17,148
2430.0,0.9013447631411255,18,144
2435.0,0.9521809121942676,17,147
2440.0,0.9521809121942676,17,144
2445.0,1.2746953702531594,17,147
2450.0,1.2877319490412884,18,144
