Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8985406004860996,17,144
2005.0,0.0754106139942454,17,148
2010.0,0.8985415779054164,18,145
2015.0,1.2008689174643672,17,147
2020.0,0.0,18,145
2025.0,1.797082178391516,17,149
2030.0,0.9555633973237804,18,145
2035.0,0.9521036136031269,17,148
2040.0,0.8954744360893965,17,144
2045.0,0.14796336099238172,17,148
2050.0,1.742661465091406,17,145
2055.0,0.848011107302795,16,147
2060.0,0.8038403817694529,17,144
2065.0,0.07208437795271808,15,147
2070.0,0.07372941445935416,18,145
2075.0,1.1970002713706067,16,147
2080.0,1.2008609784439486,18,145
2085.0,0.15237763214693584,17,148
2090.0,0.8535216006744968,18,145
2095.0,0.07423394653302755,17,148
2100.0,0.0,17,145
2105.0,1.843736473393085,18,147
2110.0,0.9524804069367812,17,145
2115.0,0.848011107302795,16,147
2120.0,1.840410547838932,18,144
2125.0,0.8985415779054164,17,147
2130.0,1.270729685829961,17,144
2135.0,0.8954744360893965,17,148
2140.0,0.8985415779054164,18,145
2145.0,1.8032575136348603,17,147
2150.0,1.0539052993192597,17,145
2155.0,1.2662346983000738,17,148
2160.0,0.7242560590817207,17,145
2165.0,1.0155623564892398,17,148
2170.0,0.8535216006744968,17,145
2175.0,0.2227115155566599,16,148
2180.0,0.14367785308837594,17,144
2185.0,0.8507578293401789,17,147
2190.0,1.005558179417342,17,145
2195.0,1.060431090474596,17,148
2200.0,0.84767606583885,18,145
2205.0,0.8507578293401789,17,148
2210.0,0.0,16,145
2215.0,0.8985406004860996,17,147
2220.0,1.0049365260876144,17,145
2225.0,1.650263230681233,17,148
2230.0,0.8507578293401789,17,145
2235.0,0.15237763214693584,16,147
2240.0,0.8013937826603783,17,145
2245.0,0.07423394653302755,17,148
2250.0,1.270729685829961,16,144
2255.0,1.2749498542939643,17,147
2260.0,1.2750956161169902,17,144
2265.0,0.9524804069367812,16,148
2270.0,0.07423394653302755,17,145
2275.0,0.0,16,146
2280.0,0.84767606583885,17,145
2285.0,0.0,17,147
2290.0,0.9555633973237804,17,145
2295.0,0.0,17,148
2300.0,0.8985415779054164,17,145
2305.0,0.0,17,148
2310.0,0.848011107302795,16,145
2315.0,0.07423394653302755,16,147
2320.0,0.8985415779054164,16,145
2325.0,0.07474815456427823,16,146
2330.0,0.0,17,145
2335.0,1.0110618957652877,17,147
2340.0,0.0,18,144
2345.0,1.797082178391516,17,147
2350.0,0.8985415779054164,18,145
2355.0,1.1931658276106891,17,148
2360.0,1.275094924976976,17,144
2365.0,0.853334648611694,17,147
2370.0,0.9047374389544128,17,144
2375.0,0.14566650141737644,16,146
2380.0,0.853334648611694,17,145
2385.0,0.0,17,147
2390.0,0.9016282681077719,17,144
2395.0,0.9016282681077719,17,147
2400.0,0.8985415779054164,17,145
2405.0,0.8507578293401789,16,148
2410.0,0.8985415779054164,17,145
2415.0,0.9016282681077719,16,148
2420.0,0.945626251755178,16,146
2425.0,0.8063037036688253,15,147
2430.0,0.8449497883345933,16,145
2435.0,0.8447660882946825,17,147
2440.0,0.07372941445935416,17,145
2445.0,0.848011107302795,16,147
2450.0,0.07208437795271808,17,144
2455.0,0.8985415779054164,17,147
2460.0,0.8507578293401789,17,145
2465.0,0.8507578293401789,17,148
2470.0,0.9016282681077719,17,145
2475.0,0.9523152861974957,16,147
2480.0,0.07423394653302755,17,146
2485.0,0.9490420642340408,16,148
2490.0,0.9016282681077719,17,145
2495.0,1.005558179417342,18,148
2500.0,0.07474815456427823,17,145
2505.0,0.07208437795271808,17,147
2510.0,1.9964581341076768,17,145
2515.0,0.0,16,147
2520.0,0.0,17,145
2525.0,1.2794926476960446,17,147
2530.0,0.07423394653302755,16,145
2535.0,0.0,16,147
2540.0,0.84767606583885,18,145
2545.0,0.9047384163737296,17,148
2550.0,0.0,17,145
2555.0,0.8985415779054164,17,148
2560.0,0.959049937484465,17,145
2565.0,2.0825034525275825,16,147
2570.0,1.0781578278317192,17,145
2575.0,0.2162601258097972,17,147
2580.0,0.0,18,144
2585.0,0.7636714742526672,17,147
2590.0,1.9352966439708101,16,144
2595.0,0.7636714742526672,17,147
2600.0,0.9490420642340408,16,144
2605.0,0.07372941445935416,16,147
2610.0,1.0738285921852164,17,146
2615.0,0.07208437795271808,17,148
2620.0,0.9016282681077719,16,145
2625.0,0.07208437795271808,17,148
2630.0,0.9559455073371552,17,146
2635.0,0.9016282681077719,16,148
2640.0,1.853405617507596,17,146
2645.0,1.293422672185834,17,149
2650.0,0.9016292455270886,17,144
2655.0,1.8599717764874117,16,147
2660.0,0.8985406004860996,18,144
2665.0,0.0715934751394591,17,146
2670.0,0.8985415779054164,17,145
2675.0,0.0,17,147
2680.0,0.0,17,144
2685.0,0.84767606583885,17,147
2690.0,1.27289550214329,17,144
2695.0,1.2728660976664143,16,146
2700.0,0.07372941445935416,17,144
2705.0,0.9490420642340408,17,146
2710.0,1.275094924976976,17,145
2715.0,1.270729685829961,17,148
2720.0,0.0,17,144
2725.0,0.8478280705632114,16,147
2730.0,0.07423394653302755,17,145
2735.0,1.8533207660131785,16,148
2740.0,0.9553988094151713,17,145
2745.0,0.0,17,147
2750.0,1.3422913633653546,17,144
2755.0,1.742661465091406,16,147
2760.0,0.9555633973237804,16,145
2765.0,1.352043382801115,17,148
2770.0,0.22118962565771638,17,144
2775.0,0.8505729615444961,17,147
2780.0,1.270728994690322,17,146
2785.0,1.005558179417342,16,148
2790.0,0.8985415779054164,17,144
2795.0,1.2750956161169902,17,147
2800.0,0.07372941445935416,17,144
2805.0,0.848011107302795,17,147
2810.0,0.0715934751394591,18,145
2815.0,0.0715934751394591,17,147
2820.0,1.2705776840626481,17,145
2825.0,0.8985415779054164,17,147
2830.0,0.8985415779054164,17,144
2835.0,0.13926052829142943,16,147
2840.0,0.07208437795271808,17,145
2845.0,0.8985415779054164,17,148
2850.0,1.2749498542939643,17,145
2855.0,0.9016282681077719,17,148
2860.0,1.2749498542939643,18,145
2865.0,0.9016282681077719,17,147
2870.0,0.9524804069367812,17,145
2875.0,0.9016282681077719,17,147
2880.0,0.9524804069367812,16,145
2885.0,0.07258227272587324,16,148
2890.0,0.8507578293401789,17,145
2895.0,1.2663920922760237,16,146
2900.0,0.8451019263793405,18,145
2905.0,0.9492317899236168,17,148
2910.0,0.07372941445935416,16,143
2915.0,0.0,17,147
2920.0,0.0715934751394591,17,144
2925.0,0.8507578293401789,16,147
2930.0,0.8954744360893965,17,145
2935.0,0.07322626466533468,17,147
2940.0,0.14595629093491938,18,145
2945.0,0.9490420642340408,17,148
2950.0,0.07322626466533468,18,144
2955.0,0.7614595295981983,17,147
2960.0,1.2008609784439486,17,146
2965.0,1.2826777196489305,17,148
2970.0,0.14367785308837594,17,144
2975.0,0.0,16,148
2980.0,0.14367785308837594,17,144
2985.0,0.8985415779054164,17,147
2990.0,0.8985415779054164,17,145
2995.0,1.1970002713706067,17,147
3000.0,0.8985415779054164,17,145
3005.0,0.8507578293401789,17,147
3010.0,0.9016282681077719,16,145
3015.0,0.8985415779054164,16,147
3020.0,0.853334648611694,16,145
3025.0,0.9016282681077719,17,146
3030.0,1.4100107513594045,17,144
3035.0,0.0698687073860124,16,148
3040.0,1.270728994690322,17,144
