Wavenumber [cm^-1],Intensity [arb. units],Signal,Reference
2000.0,0.8976588630722837,18,145
2005.0,1.1934000414964825,18,147
2010.0,0.08045801480217765,18,145
2015.0,0.9007315239356831,18,148
2020.0,0.8976578832697124,18,144
2025.0,0.9007315239356831,18,148
2030.0,1.2782053914744544,18,145
2035.0,1.8580150671462927,17,147
2040.0,0.9545983780160804,18,144
2045.0,0.07663555804994619,17,147
2050.0,1.0148032027653815,18,145
2055.0,0.9576668669048523,17,147
2060.0,0.07879360641589857,18,144
2065.0,0.8468508180606538,17,147
2070.0,0.0,17,144
2075.0,0.0,18,147
2080.0,0.9545983780160804,18,144
2085.0,0.1570495805989368,18,148
2090.0,0.0,18,145
2095.0,0.0,18,148
2100.0,0.8976578832697124,18,145
2105.0,0.07772249890043201,17,147
2110.0,0.0,18,144
2115.0,0.9007315239356831,17,147
2120.0,0.9007315239356831,18,145
2125.0,0.7996844388146531,17,148
2130.0,0.0,18,145
2135.0,0.8497429656197751,18,147
2140.0,0.1538006142494299,19,145
2145.0,0.07663555804994619,18,147
2150.0,0.9038277000607923,18,145
2155.0,0.07441495214827337,18,148
2160.0,0.07663555804994619,18,145
2165.0,0.14832414201563432,17,147
2170.0,0.0,18,145
2175.0,0.0,17,148
2180.0,1.021625599825064,18,144
2185.0,1.2694806457163834,18,148
2190.0,1.2694806457163834,18,144
2195.0,0.8444899691463986,17,147
2200.0,0.8472052428109218,19,145
2205.0,0.950758855693202,17,148
2210.0,0.9511520072872515,18,144
2215.0,0.0,17,147
2220.0,0.8472052428109218,18,144
2225.0,0.8439432555086781,18,148
2230.0,0.0,17,144
2235.0,0.07559448869334981,18,148
2240.0,0.8499403104187301,18,145
2245.0,1.2652458865239211,18,147
2250.0,0.9007315239356831,18,145
2255.0,0.9578933602143028,18,148
2260.0,0.0,18,145
2265.0,0.8976588630722837,18,148
2270.0,0.8472052428109218,18,145
2275.0,0.9580684282435388,17,147
2280.0,1.2783134248140042,18,144
2285.0,0.8470100405969634,17,147
2290.0,0.9578933602143028,17,144
2295.0,1.1255262899862415,17,147
2300.0,0.0,17,143
2305.0,1.014146577429546,18,147
2310.0,0.0,17,144
2315.0,0.9007315239356831,17,147
2320.0,1.2782053914744544,18,145
2325.0,0.9007315239356831,17,147
2330.0,0.07390918986736095,18,145
2335.0,0.8497429656197751,17,147
2340.0,1.0148032027653815,18,145
2345.0,0.9007315239356831,17,148
2350.0,0.9007315239356831,18,145
2355.0,0.8976578832697124,17,148
2360.0,0.9038277000607923,18,144
2365.0,0.8029519205426588,18,147
2370.0,1.34773592707419,18,144
2375.0,1.0048428977492052,17,147
2380.0,0.9509804839490918,18,145
2385.0,0.1473140031038942,17,148
2390.0,1.269479952891152,19,145
2395.0,1.1255262899862415,18,147
2400.0,0.0,19,144
2405.0,0.07879360641589857,18,147
2410.0,0.0,18,144
2415.0,1.2694806457163834,18,148
2420.0,1.8014630478713662,18,145
2425.0,0.9580684282435388,17,147
2430.0,1.2783134248140042,18,145
2435.0,0.8526913264258584,17,148
2440.0,0.08101252174581274,18,144
2445.0,0.8441391668989358,17,146
2450.0,1.2783134248140042,18,145
2455.0,0.8497429656197751,17,148
2460.0,1.2783134248140042,18,145
2465.0,0.9038277000607923,18,147
2470.0,0.9038277000607923,17,145
2475.0,0.0,18,148
2480.0,0.8029519205426588,17,145
2485.0,0.8499403104187301,17,148
2490.0,0.9611593813430335,17,145
2495.0,0.8526913264258584,18,148
2500.0,0.8029519205426588,19,145
2505.0,0.0,17,148
2510.0,1.3499110688422964,18,144
2515.0,0.1570495805989368,18,148
2520.0,0.958253468276863,18,145
2525.0,0.07879360641589857,17,147
2530.0,1.2783134248140042,18,145
2535.0,0.9545983780160804,17,147
2540.0,1.0148032027653815,18,146
2545.0,0.0,17,148
2550.0,0.8029519205426588,18,146
2555.0,0.9100817798729987,18,147
2560.0,1.282612451569003,18,146
2565.0,1.1244813710787773,18,148
2570.0,0.0,17,145
2575.0,0.8497429656197751,17,147
2580.0,1.039680915468389,18,145
2585.0,0.9038277000607923,17,148
2590.0,0.07825597418303826,18,145
2595.0,1.749731010817018,18,148
2600.0,0.07933678124909763,17,145
2605.0,0.8499403104187301,17,148
2610.0,0.1570495805989368,18,145
2615.0,0.9007315239356831,17,147
2620.0,0.9007315239356831,18,145
2625.0,0.0,18,148
2630.0,1.7496351581287877,18,145
2635.0,0.9545983780160804,18,148
2640.0,0.22834366523912558,19,144
2645.0,0.0,18,148
2650.0,0.9580684282435388,19,145
2655.0,0.9038277000607923,18,147
2660.0,0.0,18,145
2665.0,0.0,17,148
2670.0,0.07879360641589857,18,145
2675.0,0.0,18,147
2680.0,0.8468508180606538,18,145
2685.0,1.2718903250313782,18,148
2690.0,0.8468508180606538,18,145
2695.0,0.9007315239356831,17,148
2700.0,0.15170810719263655,18,144
2705.0,1.2738267372068293,18,147
2710.0,0.08101252174581274,18,145
2715.0,0.1570495805989368,18,148
2720.0,0.9578933602143028,18,144
2725.0,1.6940794773176622,18,148
2730.0,0.0,19,145
2735.0,0.9007315239356831,18,148
2740.0,0.07879360641589857,18,145
